ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,domain,phylum,class,order,family,genus,species,direction,significant
ASV_711,26.156488612189104,-8.025213318463612,2.8650934765976377,-2.8010301876760164,0.005093975361369286,0.033456730868703106,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_494,39.28957899167877,-7.477734803066982,2.6835137663843347,-2.78654609368455,0.005327304111711315,0.034449899922399836,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup 17,Incertae sedis (Acidobacteriota),Incertae Sedis_115,NA,Enriched at bottom,TRUE
ASV_583,34.445163592275826,-7.527919423866795,2.7073654597569567,-2.7805331551147825,0.005426971771350258,0.034708764515668684,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Enriched at bottom,TRUE
ASV_790,24.89861957726953,-7.896249432717222,2.857589739320006,-2.763255104141093,0.005722801926723994,0.036202942623406134,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Mariniblastus,NA,Enriched at bottom,TRUE
ASV_485,39.39425011859929,-7.327095679917662,2.6596078873174003,-2.7549533579207792,0.005870050291455063,0.036735153436847814,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_695,27.15809980868066,-7.409797790950428,2.7122264378974545,-2.731998216452229,0.006295148176057444,0.03897634296239822,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA,Enriched at bottom,TRUE
ASV_951,17.794011758451255,-6.829623122080493,2.504275681810037,-2.7271850186814044,0.006387721093825151,0.03913319659585514,Bacteria,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_626,26.177400887813466,-7.399872641348303,2.7172723196070576,-2.7232723742677334,0.006463874192314124,0.03918723729090438,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_752,23.914835569245344,-7.797184280325688,2.875782703680666,-2.711325953225257,0.006701471261727676,0.040208827570366056,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_397,56.933973562259695,-8.179234899817832,3.0290244340072996,-2.700286867279236,0.006927971070565336,0.04114366492927577,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_350,59.513617379801836,-7.229309192888708,2.6816358032165004,-2.6958579476815907,0.007020760003158671,0.041273558806447945,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Incertae Sedis_333,NA,Enriched at bottom,TRUE
ASV_398,52.57000558333181,-7.249598148783784,2.7027059311383765,-2.682348110928318,0.007310734167501849,0.04254847285486076,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_698,21.268234485640946,-7.682060510248631,2.8746858156236583,-2.672313081484357,0.007533032909632947,0.04340816983570669,Bacteria,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
ASV_632,32.215146375228215,-7.27574850879455,2.729258267922245,-2.66583364216883,0.0076797685077118335,0.04381985560282634,NA,Unclassified phylum,NA,NA,Unclassified family,NA,NA,Enriched at bottom,TRUE
